brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings
Bene Kleed,Men High-Rise Baggy Fit Jeans,983.0,2399.0,0.59,3.6,34.0
Urbano Fashion,Men Mid Rise Bootcut Jeans,899.0,1999.0,0.55,4.2,1200.0
Mufti,Men Slim Fit Mid-Rise Jeans,1332.0,4299.0,0.69,4.1,24.0
MASTERLY WEFT,Men Mid-Rise Stretchable Jeans,959.0,1999.0,0.52,3.2,6.0
Kotty,Men Low-Rise Jeans,619.0,1999.0,0.69,4.4,25.0
Flying Machine,Men Super Skinny Fit Jeans,1649.0,2999.0,0.45,4.4,25.0
The Indian Garage Co,Men Slim Fit Jeans,659.0,1999.0,0.67,3.8,1400.0
glitchez,Men Baggy Loose Jeans,747.0,2199.0,0.66,3.3,65.0
Flying Machine,Men Slim Fit Mid-Rise Jeans,1448.0,2299.0,0.37,3.3,65.0
Mast & Harbour,Relaxed Fit Jeans,831.0,2599.0,0.68,3.6,203.0
Bene Kleed,Men Straight Fit Cotton Jeans,1049.0,2999.0,0.65,3.5,32.0
Mufti,Men Slim Fit Jeans,2149.0,4299.0,0.5,3.4,5.0
Roadster,Men Cotton Mid Rise Jeans,919.0,2299.0,0.6,3.9,61.0
HIGHLANDER,Men Wide Leg Cotton Jeans,1099.0,2799.0,17.0,3.9,236.0
Flying Machine,Men Slim Fit Jeans,1707.0,2799.0,0.39,3.9,236.0
Mast & Harbour,Men Relaxed Fit Jeans,883.0,3399.0,0.74,4.1,703.0
HIGHLANDER,Men Slim Fit Jeans,675.0,1299.0,0.48,3.8,13700.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,3.8,13700.0
Sztori,Plus Size Stretchable Jeans,863.0,2699.0,0.68,4.4,555.0
HERE&NOW,Men Bootcut Jeans,869.0,2499.0,16.3,4.2,374.0
Flying Machine,Non Stretchable Cotton Jeans,1829.0,2999.0,0.39,4.2,374.0
Roadster,Men Pure Cotton Jeans,917.0,3399.0,0.73,4.0,534.0
Roadster,Men Straight Fit Jeans,599.0,1499.0,0.6,4.2,80.0
TURMS,30 Days No Wash Jeans,3499.0,4999.0,15.0,3.7,22.0
Roadster,Men Cotton Baggy-Fit Jeans,1024.0,2499.0,0.59,3.9,355.0
Bene Kleed,Mid-Rise Heavy Fade Jeans,989.0,2999.0,0.67,3.5,100.0
Flying Machine,Men Slim Fit Cotton Jeans,1829.0,2999.0,0.39,3.5,100.0
WROGN,Men Slim Fit Jeans,919.0,2299.0,0.6,4.5,15.0
Roadster,Men Pure Cotton Jeans,725.0,2199.0,0.67,3.9,225.0
WROGN,Men Relaxed Fit Mid-Rise Jeans,1594.0,2899.0,0.45,4.3,25.0
Nautica,Men Straight Fit Jeans,1385.0,3299.0,0.58,4.4,76.0
WROGN,Men Anti fit Light Fade Jeans,1268.0,2699.0,0.53,4.2,37.0
Flying Machine,Men Slim Fit Jeans,1471.0,2299.0,0.36,4.2,37.0
HIGHLANDER,Men Tapered Fit Jeans,769.0,1149.0,0.33,3.6,2100.0
Roadster,Men Straight Fit Jeans,1074.0,2499.0,0.57,3.9,58.0
Mufti,Men Skinny Fit Jeans,2099.0,4199.0,0.5,3.9,58.0
Roadster,Men Cotton Straight Fit Jeans,979.0,3499.0,0.72,3.5,195.0
The Indian Garage Co,Men Relaxed Fit Jeans,857.0,2599.0,0.67,3.7,328.0
Mufti,Men Slim Fit Stretchable Jeans,1434.0,3499.0,0.59,3.7,328.0
Roadster,Baggy Jeans,874.0,2499.0,0.65,3.6,14.0
glitchez,Men Wide Leg Jeans,725.0,2199.0,0.67,3.6,68.0
Roadster,Men Slim Fit Mid-Rise Jeans,645.0,1699.0,0.62,3.3,15.0
WROGN,Men Relaxed Fit Jeans,1049.0,2999.0,0.65,4.6,23.0
Levis,Men Slim Fit Mid-Rise Jeans,1304.0,2899.0,0.55,4.1,232.0
Flying Machine,Men Slim Fit Jeans,2134.0,3499.0,0.39,4.1,232.0
Thomas Scott,Men Relaxed Fit Cotton Jeans,999.0,2599.0,16.0,3.9,1300.0
Red Tape,Men Skinny Fit Jeans,1311.0,6399.0,50.88,4.1,359.0
Flying Machine,Men Relaxed Fit Jeans,1829.0,2999.0,0.39,4.1,359.0
Mast & Harbour,Men Straight Fit Jeans,764.0,1699.0,0.55,4.5,33.0
Urbano Fashion,Men Relaxed Fit Cotton Jeans,1079.0,2399.0,0.55,3.9,416.0
Mufti,Men Skinny Fit Jeans,1616.0,3299.0,0.51,3.9,416.0
Mast & Harbour,Men Straight Fit Jeans,827.0,1799.0,0.54,4.2,25.0
Stylecast X Kotty,Men Regular Fit  Jeans,559.0,1999.0,0.72,4.1,79.0
Flying Machine,Men Slim Fit Jeans,1471.0,2299.0,0.36,4.1,79.0
HERE&NOW,Bootcut Jeans,929.0,2599.0,16.7,3.9,380.0
MAAHIT,Men Baggy Mid-Rise Jeans,689.0,2999.0,0.77,2.6,14.0
The Indian Garage Co,Men Bootcut Jeans,808.0,2449.0,0.67,3.4,233.0
glitchez,Men Carrot Fit Jeans,713.0,1699.0,0.58,4.2,19.0
Mufti,Men Skinny Fit Jeans,1499.0,2999.0,0.5,4.2,5.0
FUDE PRIDE,Men Mid-Rise Light Fade Jeans,689.0,2999.0,0.77,3.9,35.0
Bene Kleed,Men Heavy Fade Jeans,839.0,2999.0,0.72,3.9,117.0
Flying Machine,Men Relaxed Fit Jeans,1402.0,2299.0,0.39,3.9,117.0
HERE&NOW,Men Cargo Baggy Mid-Rise Jeans,1325.0,3899.0,0.66,2.9,10.0
Mast & Harbour,Men Slim Fit Mid-Rise Jeans,764.0,1699.0,0.55,4.1,40.0
Flying Machine,Men Slim Fit Cotton Jeans,1599.0,2499.0,0.36,4.1,40.0
Roadster,Men Cotton Relaxed Fit Jeans,911.0,2399.0,0.62,4.3,20.0
StyleCast x Revolte,Wide Leg Medium Shade Jeans,1364.0,3499.0,0.61,3.8,103.0
Mufti,Men Slim Fit Corduroy Jeans,1208.0,3899.0,0.69,4.2,56.0
Roadster,Light Fade Stretchable Jeans,909.0,2599.0,0.65,4.2,56.0
The Indian Garage Co,Men Straight Fit Jeans,959.0,2399.0,0.6,4.2,496.0
Roadster,Men Regular Mid-Rise Jeans,645.0,1899.0,0.66,4.1,32.0
WROGN,Men Loose Fit Jeans,1221.0,2599.0,0.53,3.8,58.0
glitchez,Men Loose Fit Heavy Fade Jeans,615.0,2199.0,0.72,4.2,87.0
Mast & Harbour,Men Straight Fit Jeans,764.0,1699.0,0.55,4.4,31.0
Style Quotient,Men Cotton Cargo Jeans,990.0,2999.0,0.66,4.3,2800.0
Roadster,Men Flared Light Fade Jeans,701.0,2599.0,0.73,3.4,24.0
Thomas Scott,Men Clean Look Jeans,819.0,3299.0,24.8,4.0,220.0
Urbano Fashion,Men Relaxed Fit Cotton Jeans,1079.0,2399.0,0.55,3.1,116.0
The Indian Garage Co,Men Bootcut Jeans,896.0,2299.0,0.61,4.1,151.0
Roadster,Men Straight Fit Mid-Rise Jeans,645.0,1699.0,0.62,3.6,5.0
Red Tape,Men Skinny Fit Jeans,1379.0,6899.0,0.8,4.4,52.0
Bene Kleed,Mid-Rise Baggy Fit Jeans,989.0,2999.0,0.67,3.7,1400.0
Thomas Scott,Men Smart Stretchable Jeans,824.0,3299.0,0.75,4.2,99.0
WROGN,Men Relaxed Fit Jeans,1385.0,2199.0,0.37,4.3,15.0
glitchez,Men Bootcut Jeans,575.0,1599.0,0.64,3.4,59.0
Urbano Fashion,Men Relaxed Fit Cargo Jeans,1079.0,2399.0,0.55,4.1,947.0
Bene Kleed,Men Relaxed Fit Jeans,988.0,2299.0,0.57,4.2,476.0
Urbano Fashion,Men Relaxed Fit Jeans,944.0,2099.0,0.55,4.0,611.0
Bene Kleed,Men Cotton Relaxed Fit Jeans,824.0,3299.0,0.75,4.1,309.0
HIGHLANDER,Men Cotton Relaxed Fit Jeans,574.0,2299.0,0.75,3.7,86.0
Mast & Harbour,Men Regular Fit Jeans,827.0,1799.0,0.54,3.9,18.0
Roadster,Men Tapered Fit Jeans,701.0,2699.0,0.74,3.7,987.0
glitchez,Men Straight Fit Jeans,611.0,1699.0,0.64,3.9,31.0
The Indian Garage Co,Men Pure Cotton Skater Jeans,728.0,2699.0,0.73,3.7,57.0
Roadster,Men Straight Fit Jeans,645.0,1699.0,0.62,3.9,34.0
Bene Kleed,Men Relaxed Fit Distress Jeans,951.0,2799.0,0.66,3.8,54.0
WROGN,Men Straight Fit Jeans,1325.0,2599.0,0.49,3.9,300.0
MAAHIT,Men Mid-Rise Baggy Jeans,689.0,2999.0,0.77,3.1,49.0
glitchez,Men Wide Leg Jeans,593.0,2199.0,0.73,3.5,65.0
Kotty,Men Low-Rise Jeans,619.0,1999.0,0.69,3.8,859.0
glitchez,Men Straight Jeans,647.0,2399.0,0.73,3.5,124.0
glitchez,Men Wide Leg Jeans,615.0,2199.0,0.72,3.5,79.0
Thomas Scott,Men Bootcut Jeans,999.0,3499.0,25.0,3.9,401.0
The Indian Garage Co,Men Slim Fit Jeans,659.0,1999.0,0.67,4.1,922.0
Being Human,Men Slim Fit Jeans,1259.0,2999.0,0.58,4.4,14.0
Roadster,Men Bootcut Jeans,1199.0,2999.0,0.6,4.1,165.0
Peter England Casuals,Men Solid Jeans,1379.0,2299.0,0.4,4.2,186.0
bigbanana,Men Plus Size Jeans,1311.0,3199.0,0.59,3.7,29.0
PARIS HAMILTON,Men Bootcut Mid-Rise Jeans,899.0,1999.0,0.55,3.8,12.0
glitchez,Men Loose Fit Ripped Jeans,639.0,1999.0,0.68,3.8,63.0
Stylecast X Kotty,Men Regular Fit Mid-Rise Jeans,559.0,1999.0,0.72,3.8,114.0
Urbano Fashion,Men Slim Fit Jeans,674.0,1499.0,0.55,4.0,300.0
Kotty,Men Stretchable Jeans,619.0,1999.0,0.69,3.8,689.0
Dennis Lingo,Straight Fit Mid-Rise Jeans,712.0,2299.0,0.69,4.2,12.0
Urbano Fashion,Men Relaxed Fit Jeans,1149.0,2299.0,0.5,3.7,711.0
HERE&NOW,Men Pure Cotton Baggy Jeans,1349.0,2999.0,0.55,2.9,15.0
Roadster,Men Loose Light Jeans,831.0,2599.0,0.68,4.4,66.0
glitchez,Men Flared Jeans,647.0,2399.0,0.73,3.7,80.0
The Indian Garage Co,Men Slim Fit Jeans,873.0,2299.0,0.62,3.8,2700.0
Bene Kleed,Pure Cotton Straight Fit Jeans,974.0,2499.0,0.61,4.0,1100.0
HIGHLANDER,Men Tapered Fit Jeans,492.0,1449.0,0.66,3.8,4100.0
Roadster,Men Slim Fit Jeans,459.0,999.0,0.54,3.6,756.0
WROGN,Men Loose Fit Cotton Jeans,1374.0,2499.0,0.45,4.2,57.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,4.6,5.0
RIG BONE,Men Mid-Rise Baggy Jeans,980.0,3999.0,30.19,3.5,6.0
HERE&NOW,Men Baggy Fit Jeans,985.0,2899.0,0.66,3.4,40.0
WROGN,Men Anti Fit Jeans,1623.0,2799.0,0.42,4.2,42.0
HIGHLANDER,Men Tapered Fit Jeans,809.0,2249.0,0.64,3.8,257.0
Bene Kleed,Men Relaxed Fit Jeans,873.0,2299.0,0.62,4.1,4000.0
Roadster,Men Regular Fit Mid-Rise Jeans,759.0,1899.0,0.6,4.0,63.0
PARIS HAMILTON,Men Bootcut Jeans,899.0,1999.0,0.55,4.0,283.0
Urbano Fashion,Men Stretchable Jeans,809.0,1799.0,0.55,4.1,1900.0
Flying Machine,Slim Fit Stretchable Jeans,1829.0,2999.0,0.39,4.1,1900.0
Flying Machine,Men Slim Fit Mid-Rise Jeans,1367.0,2399.0,0.43,4.1,30.0
HIGHLANDER,Men Relaxed Fit Jeans,674.0,2699.0,0.75,3.1,205.0
Levis,Men 511 Slim Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
Roadster,Men Straight Fit Jeans,645.0,1699.0,0.62,4.3,264.0
ASHTOM,Men High-Rise Jeans,799.0,2999.0,22.0,3.7,55.0
Calvin Klein Jeans,Men Slim Fit Jeans,799.0,2999.0,22.0,3.7,55.0
Roadster,Men Slim Fit Jeans,719.0,2399.0,0.7,3.8,369.0
Roadster,Men Straight Fit Mid-Rise Jeans,611.0,1699.0,0.64,3.8,369.0
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0
FOUL CHILD,Men Flared Mid-Rise Jeans,1407.0,2969.0,0.52,3.5,46.0
Roadster,Men Pure Cotton Bootcut Jeans,805.0,2599.0,0.69,3.6,42.0
Flying Machine,Men Relaxed Fit Jeans,2309.0,3499.0,0.34,3.6,42.0
glitchez,Men Jeans,615.0,2199.0,0.72,3.3,56.0
Roadster,Men Regular Fit Jeans,782.0,2699.0,0.71,3.8,740.0
Levis,Men 511 Slim Fit Jeans,2079.0,3999.0,0.48,3.9,31.0
WROGN,Men Straight Stretchable Jeans,1385.0,2199.0,0.37,3.9,31.0
glitchez,Men Flared Jeans,719.0,2399.0,0.7,4.0,40.0
Flying Machine,Men Slim Fit Jeans,1549.0,2499.0,0.38,4.0,40.0
WROGN,Men Baggy Fit Cotton Jeans,1268.0,2699.0,0.53,3.5,21.0
Roadster,Men Regular Fit Jeans,779.0,2599.0,0.7,3.9,16.0
WROGN,Men Anti Fit Jeans,1399.0,2799.0,0.5,4.1,25.0
Roadster,Men Straight Fit Jeans,509.0,1699.0,0.7,4.1,25.0
HIGHLANDER,Men Mid-Rise Jeans,620.0,2299.0,0.73,3.4,230.0
Mufti,Men Mid-Rise Skinny Fit Jeans,1393.0,3399.0,0.59,3.8,16.0
Roadster,Men Cotton Wide Leg Jeans,774.0,2499.0,0.69,3.9,86.0
glitchez,Men Korean Baggy Fit Jeans,615.0,2199.0,0.72,3.9,72.0
FUGAZEE,Men Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124.0
WROGN,Men Straight Fit Jeans,1259.0,1999.0,0.37,4.4,16.0
max,Men Mid-Rise Cotton Jeans,649.0,699.0,0.5,4.0,167.0
French Connection,Men Slim Fit Jeans,1294.0,3499.0,0.63,4.4,17.0
Roadster,Men Regular Fit Mid-Rise Jeans,743.0,2399.0,0.69,3.8,21.0
The Indian Garage Co,Men Carrot Fit Jeans,919.0,2299.0,0.6,4.2,936.0
Mufti,Men Slim Fit Jeans,1553.0,4199.0,0.63,3.8,22.0
glitchez,Men Relaxed Fit Jeans,628.0,1699.0,0.63,4.1,163.0
Nautica,Men Slim Fit Mid-Rise Jeans,985.0,2899.0,0.66,4.4,28.0
Mufti,Men Super Skinny Fit Jeans,1393.0,3399.0,0.59,4.4,28.0
Stylecast X Kotty,Men Mid-Rise Jeans,499.0,1999.0,0.75,3.9,86.0
Bene Kleed,Men Regular Fit Mid-Rise Jeans,857.0,2599.0,0.67,3.8,60.0
Mufti,Men Slim Fit Jeans,1649.0,3299.0,0.5,4.2,5.0
WROGN,Men Loose Fit Cotton Jeans,1374.0,2499.0,0.45,4.2,57.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,4.6,5.0
SPYKAR,Men Narrow Leg Jeans,1253.0,3299.0,0.62,4.4,10.0
Roadster,Men Straight Fit Jeans,675.0,2599.0,0.74,3.5,10.0
WROGN,Men Anti Fit Jeans,1623.0,2799.0,0.42,4.2,42.0
glitchez,Men wide leg Fit Jeans,532.0,1299.0,0.59,3.6,79.0
The Indian Garage Co,Men Relaxed Fit Jeans,939.0,2349.0,0.6,3.8,331.0
Roadster,Men Regular Fit Mid-Rise Jeans,759.0,1899.0,0.6,4.0,63.0
Roadster,Men Slim Fit Mid-Rise Jeans,679.0,1699.0,0.6,3.8,12.0
glitchez,MenLoose Bootcut Jeans,857.0,2199.0,0.61,3.4,469.0
Flying Machine,Slim Fit Stretchable Jeans,1829.0,2999.0,0.39,3.4,469.0
HIGHLANDER,Men Tapered Fit Jeans,1169.0,2599.0,0.55,3.7,34.0
The Indian Garage Co,Men Slim Fit Jeans,857.0,2599.0,0.67,4.1,253.0
Levis,Men 511 Slim Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
Being Human,Men Straight Fit Jeans,1109.0,2999.0,0.63,3.8,22.0
Kotty,Men Low-Rise Jeans,519.0,1999.0,0.74,3.7,250.0
Calvin Klein Jeans,Men Slim Fit Jeans,519.0,1999.0,0.74,3.7,250.0
Roadster,Men Straight Fit Jeans,805.0,2599.0,0.69,4.0,9.0
WROGN,Men Straight Fit Jeans,1259.0,1999.0,0.37,4.0,9.0
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0
Roadster,Men Slim Fit Jeans,791.0,2399.0,0.67,4.0,192.0
glitchez,Men Relaxed Jeans,539.0,1999.0,0.73,3.5,89.0
Flying Machine,Men Relaxed Fit Jeans,2309.0,3499.0,0.34,3.5,89.0
The Indian Garage Co,Men Bootcut Jeans,808.0,2449.0,0.67,4.1,1100.0
HIGHLANDER,Men Relaxed Fit Jeans,729.0,2249.0,15.2,3.8,1500.0
Levis,Men 511 Slim Fit Jeans,2079.0,3999.0,0.48,3.9,31.0
Mast & Harbour,Men Relaxed Fit Jeans,611.0,1699.0,0.64,3.6,90.0
glitchez,Men Baggy Fit Jeans,857.0,2199.0,0.61,4.0,30.0
Flying Machine,Men Slim Fit Jeans,1549.0,2499.0,0.38,4.0,30.0
The Indian Garage Co,Men Bootcut Jeans,930.0,2449.0,0.62,4.3,765.0
Roadster,Men Relaxed Cargo Style Jeans,749.0,1499.0,0.5,4.2,78.0
WROGN,Men Anti Fit Jeans,1399.0,2799.0,0.5,4.1,25.0
FUDE PRIDE,Men Mid-Rise Jeans,689.0,2999.0,0.77,3.1,41.0
Roadster,Men Straight Fit Jeans,628.0,1699.0,0.63,4.3,7.0
Mufti,Men Mid-Rise Skinny Fit Jeans,1393.0,3399.0,0.59,3.8,16.0
Roadster,Men Straight Fit Jeans,695.0,2399.0,0.71,4.4,10.0
WROGN,Men Slim Fit Jeans,999.0,2499.0,0.6,4.0,806.0
FUGAZEE,Men Relaxed Fit Jeans,2099.0,3499.0,0.4,3.7,124.0
Mast & Harbour,Mid-Rise Relaxed Fit Jeans,764.0,1699.0,0.55,4.1,18.0
Urbano Fashion,Men Relaxed Fit Jeans,1169.0,2599.0,0.55,4.0,63.0
French Connection,Men Slim Fit Jeans,1294.0,3499.0,0.63,4.4,17.0
Roadster,Men Relaxed Fit Jeans,899.0,2999.0,0.7,4.0,338.0
WROGN,Men Slim Tapered Fit Jeans,1385.0,2199.0,0.37,4.6,5.0
Mufti,Men Slim Fit Jeans,1553.0,4199.0,0.63,3.8,22.0
DENIMLOOK,Men Jeans,749.0,2599.0,18.5,4.3,22.0
HERE&NOW,Men Straight Fit Jeans,798.0,1699.0,0.53,4.0,45.0
Mufti,Men Super Skinny Fit Jeans,1393.0,3399.0,0.59,4.0,45.0
SPYKAR,Men Loose Fit Cotton Jeans,1332.0,3099.0,0.57,4.0,67.0
The Indian Garage Co,Men Relaxed Fit Jeans,940.0,2849.0,0.67,4.3,118.0
Mufti,Men Slim Fit Jeans,1649.0,3299.0,0.5,4.2,5.0
WROGN,Men Loose Fit Cotton Jeans,1374.0,2499.0,0.45,4.2,57.0
Flying Machine,Men Slim Fit Jeans,1829.0,2999.0,0.39,4.6,5.0
WROGN,Men Loose Fit Cotton Jeans,944.0,2699.0,0.65,3.9,25.0
glitchez,Men Carrot Fit Jeans,764.0,1699.0,0.55,3.9,25.0
WROGN,Men Anti Fit Jeans,1623.0,2799.0,0.42,4.2,42.0
glitchez,Men Relaxed Fit Jeans,679.0,1699.0,0.6,4.0,138.0
Mast & Harbour,Men Carrot Fit Jeans,776.0,2099.0,0.63,4.0,292.0
Roadster,Men Regular Fit Mid-Rise Jeans,759.0,1899.0,0.6,4.0,63.0
Roadster,Men Relaxed Fit Jeans,805.0,2599.0,0.69,3.7,107.0
Mast & Harbour,Men Straight Fit Jeans,764.0,1699.0,0.55,3.7,107.0
Flying Machine,Slim Fit Stretchable Jeans,1829.0,2999.0,0.39,3.7,107.0
Mast & Harbour,Straight Fit Stretchable Jeans,764.0,1699.0,0.55,4.1,15.0
glitchez,Men Relaxed Fit Cargo Jeans,571.0,2199.0,0.74,3.7,97.0
Levis,Men 511 Slim Fit Jeans,1478.0,2899.0,0.49,4.3,264.0
glitchez,Men Carrot Fit Jeans,560.0,1699.0,0.67,3.8,128.0
Bene Kleed,Pure Cotton Relaxed Fit Jeans,965.0,2299.0,0.58,3.9,1700.0
Calvin Klein Jeans,Men Slim Fit Jeans,965.0,2299.0,0.58,3.9,1700.0
Stylecast X Kotty,Men Regular Fit Cargo Jeans,679.0,1999.0,0.66,3.9,1700.0
HERE&NOW,Men Slim Fit Jeans,689.0,1499.0,0.54,4.0,27.0
WROGN,Men Slim Fit Stretchable Jeans,1275.0,2199.0,0.42,4.2,130.0
HERE&NOW,Men Baggy Fit Jeans,985.0,2899.0,0.66,3.4,41.0
